Winner,Loser,Winner_Name,Loser_Name
10,77,['Santiago-Giraldo'],['Jurgen-Melzer']
10,77,['Santiago-Giraldo'],['Jurgen-Melzer']
32,10,['Kei-Nishikori'],['Santiago-Giraldo']
10,60,['Santiago-Giraldo'],['Robin-Haase']
10,62,['Santiago-Giraldo'],['Dmitry-Tursunov']
62,10,['Dmitry-Tursunov'],['Santiago-Giraldo']
29,10,['Gael-Monfils'],['Santiago-Giraldo']
15,10,['Andy-Roddick'],['Santiago-Giraldo']
10,44,['Santiago-Giraldo'],['Fabio-Fognini']
10,91,['Santiago-Giraldo'],['Albert-Montanes']
10,91,['Santiago-Giraldo'],['Albert-Montanes']
91,10,['Albert-Montanes'],['Santiago-Giraldo']
92,10,['Andreas-Haider-Maurer'],['Santiago-Giraldo']
31,10,['Jarkko-Nieminen'],['Santiago-Giraldo']
10,93,['Santiago-Giraldo'],['Jeremy-Chardy']
87,10,['Lukasz-Kubot'],['Santiago-Giraldo']
